BaciaCodigo,SubBaciaCodigo,EstadoCodigo,nmEstado,MunicipioCodigo,nmMunicipio,ResponsavelCodigo,ResponsavelSigla,OperadoraCodigo,OperadoraSigla,TipoEstacao,Codigo,Nome,CodigoAdicional,Latitude,Longitude,Altitude,TipoEstacaoEscala,TipoEstacaoRegistradorNivel,TipoEstacaoDescLiquida,TipoEstacaoSedimentos,TipoEstacaoQualAgua,TipoEstacaoPluviometro,TipoEstacaoRegistradorChuva,TipoEstacaoTanqueEvapo,TipoEstacaoClimatologica,TipoEstacaoPiezometria,TipoEstacaoTelemetrica,PeriodoPluviometroInicio,PeriodoPluviometroFim,PeriodoRegistradorChuvaInicio,PeriodoRegistradorChuvaFim,PeriodoTanqueEvapoInicio,PeriodoTanqueEvapoFim,PeriodoClimatologicaInicio,PeriodoClimatologicaFim,TipoRedeBasica,TipoRedeEnergetica,TipoRedeNavegacao,TipoRedeCursoDagua,TipoRedeEstrategica,TipoRedeCaptacao,TipoRedeSedimentos,TipoRedeQualAgua,TipoRedeClasseVazao,UltimaAtualizacao,Operando,NumImagens,DataAlt,ResponsavelUnidade,ResponsavelJurisdicao,OperadoraUnidade,OperadoraSubUnidade,PeriodoTelemetricaInicio,Descricao,DataIns,PeriodoTelemetricaFim,PeriodoPiezometriaInicio,PeriodoPiezometriaFim,AreaDrenagem,PeriodoQualAguaInicio,PeriodoQualAguaFim,RioCodigo,RioNome,PeriodoEscalaInicio,PeriodoEscalaFim,PeriodoDescLiquidaInicio,PeriodoSedimentosInicio,PeriodoRegistradorNivelInicio,PeriodoDescLiquidaFim,PeriodoSedimentosFim,PeriodoRegistradorNivelFim,Rede
5,57,18,ESPÍRITO SANTO,18050400,VENDA NOVA DO IMIGR,1,ANA,1,ANA,2,2041022,USINA SÃO MIGUEL,,-20.3333,-41.1167,,0,0,0,0,0,0,0,0,0,0,0,1964-05-01 00:00:00,1965-12-01 00:00:00,,,,,,,0,0,0,0,0,1,0,0,0,1997-08-15 00:00:00,0,0,2010-04-28 00:00:00,27,1,,,,,,,,,,,,,,,,,,,,,,Convencional
5,57,18,ESPÍRITO SANTO,18019000,DOMINGOS MARTINS,2,DNOS,2,DNOS,2,2041036,ALTO JUCU,,-20.3,-41.1,,0,0,0,0,0,0,0,0,0,0,0,1952-11-01 00:00:00,1968-08-01 00:00:00,,,,,,,0,0,0,0,0,7,0,0,0,2010-03-29 00:00:00,0,0,2010-03-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,Convencional
5,57,18,ESPÍRITO SANTO,18019000,DOMINGOS MARTINS,2,DNOS,2,DNOS,2,2041037,FAZENDA CALIFORNIA,,-20.3667,-41.05,,0,0,0,0,0,0,0,0,0,0,0,1963-04-01 00:00:00,1968-08-01 00:00:00,,,,,,,0,0,0,0,0,7,0,0,0,2010-03-29 00:00:00,0,0,2010-03-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,Convencional
5,57,18,ESPÍRITO SANTO,18019000,DOMINGOS MARTINS,270,INCAPER,270,INCAPER,2,2041060,MENDES DA FONSECA,,-20.3833,-41.05,950,0,0,0,0,0,1,1,1,1,0,0,1982-01-01 00:00:00,,1982-01-01 00:00:00,,1982-01-01 00:00:00,,1982-01-01 00:00:00,,0,0,0,0,0,0,0,0,0,2010-03-29 00:00:00,1,0,2010-03-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,Convencional
5,56,17,MINAS GERAIS,17394000,MANHUAÇU,727,RIO MANHUAÇU,727,RIO MANHUAÇU,2,2041098,PCH BENJAMIM MÁRIO BAPTISTA MONTANTE,,-20.2708,-41.0469,636,0,0,0,0,0,1,0,0,0,0,1,2010-08-01 00:00:00,,,,,,,,0,1,0,0,0,6,0,0,0,2019-11-05 00:00:00,1,0,2019-11-05 00:00:00,,,,1,2011-11-01 00:00:00,RES. ANA/ANEEL N. 0,2015-06-19 00:00:00,,,,,,,,,,,,,,,,,Convencional
5,57,18,ESPÍRITO SANTO,18019000,DOMINGOS MARTINS,424,SÃO PEDRO,424,SÃO PEDRO,2,2040061,PCH SÃO PEDRO MONTANTE,,-20.3172,-40.6531,455,0,0,0,0,0,1,0,0,0,0,1,2014-08-01 00:00:00,,,,,,,,0,1,0,0,0,6,0,0,0,2015-05-12 00:00:00,1,0,2015-05-12 00:00:00,,,,1,2014-08-01 00:00:00,RES. ANA/ANEEL N. 0,2015-05-12 00:00:00,,,,,,,,,,,,,,,,,Telemétrica
5,57,18,ESPÍRITO SANTO,18019000,DOMINGOS MARTINS,451,CEMADEN,451,CEMADEN,2,2040075,DOMINGOS MARTINS_AC Domingos Martins,320190201,-20.36,-40.66,531,0,0,0,0,0,1,0,0,0,0,1,2014-01-01 00:00:00,,,,,,,,0,0,0,0,0,7,0,0,0,,1,0,2015-10-29 00:00:00,21,1,21,,2014-01-01 00:00:00,TELEMÉTRICA,2015-10-28 00:00:00,,,,,,,,,,,,,,,,,Telemétrica
5,57,18,ESPÍRITO SANTO,18019000,DOMINGOS MARTINS,913,AGERH-ES,913,AGERH-ES,2,2040207,DOMINGOS MARTINS - PONTO ALTO,99771479,-20.2992,-40.8783,659,0,0,0,0,0,1,0,0,0,0,1,2022-11-01 00:00:00,,,,,,,,0,0,0,0,0,7,0,0,0,2025-07-28 17:06:00,1,0,2026-03-26 13:20:00,18,1,18,,2022-11-01 00:00:00,TELEMÉTRICA,2025-01-08 00:00:00,,,,,,,,,,,,,,,,,Telemétrica
5,56,17,MINAS GERAIS,17394000,MANHUAÇU,727,RIO MANHUAÇU,727,RIO MANHUAÇU,2,2041098,PCH BENJAMIM MÁRIO BAPTISTA MONTANTE,,-20.2708,-41.0469,636,0,0,0,0,0,1,0,0,0,0,1,2010-08-01 00:00:00,,,,,,,,0,1,0,0,0,6,0,0,0,2019-11-05 00:00:00,1,0,2019-11-05 00:00:00,,,,1,2011-11-01 00:00:00,RES. ANA/ANEEL N. 0,2015-06-19 00:00:00,,,,,,,,,,,,,,,,,Telemétrica
5,57,18,ESPÍRITO SANTO,18019000,DOMINGOS MARTINS,913,AGERH-ES,913,AGERH-ES,1,57145000,DOMINGOS MARTINS - PONTO ALTO,99771479,-20.2992,-40.8783,659,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,0,0,0,3,0,7,0,0,1,2025-07-28 17:06:00,1,0,2026-03-26 13:20:00,18,1,18,,2022-11-01 00:00:00,TELEMÉTRICA,2025-01-08 00:00:00,,,,530,,,57320000,RIO JUCU - BRAÇO NORTE,2022-11-01 00:00:00,2023-06-01 00:00:00,,,,,,,Telemétrica
5,57,18,ESPÍRITO SANTO,18019000,DOMINGOS MARTINS,424,SÃO PEDRO,424,SÃO PEDRO,1,57150500,PCH SÃO PEDRO MONTANTE,,-20.3172,-40.6531,455,1,0,1,1,0,0,0,0,0,0,1,,,,,,,,,0,1,0,3,0,6,0,0,1,2015-06-05 00:00:00,1,0,2015-06-05 00:00:00,,,,1,2014-08-01 00:00:00,RES. ANA/ANEEL N. 0,2015-05-12 00:00:00,,,,1036,,,57320000,RIO JUCU - BRAÇO NORTE,2014-08-01 00:00:00,,2014-08-01 00:00:00,2014-08-01 00:00:00,,,,,Telemétrica
5,57,18,ESPÍRITO SANTO,18019000,DOMINGOS MARTINS,424,SÃO PEDRO,424,SÃO PEDRO,1,57150800,PCH SÃO PEDRO BARRAMENTO,,-20.3283,-40.6356,419,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,0,1,0,3,0,6,0,0,0,2015-06-11 00:00:00,1,0,2015-06-11 00:00:00,,,,1,2010-12-01 00:00:00,RES. ANA/ANEEL N. 0,2015-05-12 00:00:00,,,,1036,,,57320000,RIO JUCU - BRAÇO NORTE,2010-12-01 00:00:00,,,,,,,,Telemétrica
