BaciaCodigo,SubBaciaCodigo,RioCodigo,RioNome,nmEstado,nmMunicipio,ResponsavelSigla,Codigo,Nome,Latitude,Longitude,Altitude,AreaDrenagem,PeriodoTelemetricaInicio,PeriodoTelemetricaFim,Operando,TipoEstacao,TemChuva
3,39,,,ALAGOAS,SANTA LUZIA DO NORT,SEMARH-AL,935101,SANTA LUZIA DO NORTE,-9.6017,-35.8264,,,2025-01-01 00:00:00,,1,2,Não
3,39,,,ALAGOAS,RIO LARGO,CIA. ALAGOANA,935102,CGH GUSTAVO PAIVA BARRAMENTO,-9.4897,-35.8503,16,,2025-05-01 00:00:00,,1,2,Não
3,39,,,ALAGOAS,ATALAIA,DNOCS,936010,ATALAIA,-9.51667,-36.0167,54,,,,1,2,Sim
3,39,,,ALAGOAS,SÃO MIGUEL DOS CAMP,DNOS,936011,BERNARDO LOPES,-9.76667,-36.0833,40,,,,0,2,Não
3,39,,,ALAGOAS,JUNQUEIRO,DNOS,936012,BREJO DO PACHECO,-9.95,-36.3,200,,,,0,2,Não
3,39,,,ALAGOAS,ANADIA,DNOCS,936013,CANUDOS,-9.58333,-36.4833,372,,,,0,2,Sim
3,39,,,ALAGOAS,CAPELA,SUDENE,936014,CAPELA,-9.43333,-36.0833,34,,,,0,2,Sim
4,49,,,ALAGOAS,ARAPIRACA,SUDENE,936015,CRAIBA,-9.6167,-36.7833,230,,,,0,2,Sim
3,39,,,ALAGOAS,BOCA DA MATA,DNOCS,936016,FAZENDA VARRELA,-9.7,-36.05,100,,,,1,2,Sim
3,39,,,ALAGOAS,SÃO MIGUEL DOS CAMP,DNOS,936017,JITIRANA,-9.85,-36.2,20,,,,0,2,Não
4,49,,,ALAGOAS,SÃO BRÁS,RFFSA,936018,ENGENHEIRO GORDILHO DE CASTRO (RFN),-9.9167,-36.8,150,,,,0,2,Sim
3,39,,,ALAGOAS,IGACI,SUDENE,936019,IGACI,-9.55,-36.6333,240,,,,0,2,Sim
4,49,,,ALAGOAS,JUNQUEIRO,DNOCS,936020,JUNQUEIRO,-9.9333,-36.4833,120,,,,1,2,Sim
4,49,,,ALAGOAS,LAGOA DA CANOA,SEMARH-AL,936022,LAGOA DA CANOA,-9.8286,-36.5094,276,,,,0,2,Sim
3,39,,,ALAGOAS,LIMOEIRO DE ANADIA,SEMARH-AL,936026,LIMOEIRO DE ANADIA,-9.7436,-36.5039,122,,2025-01-01 00:00:00,,1,2,Sim
4,49,,,ALAGOAS,MAJOR ISIDORO,DNOCS,936028,MAJOR ISIDORO,-9.5333,-36.9833,217,,,,1,2,Sim
4,49,,,ALAGOAS,MAJOR ISIDORO,INMET,936029,MAJOR ISIDORO,-9.5333,-36.9833,217,,,,0,2,Sim
3,39,,,ALAGOAS,MAR VERMELHO,SUDENE,936031,MAR VERMELHO,-9.45,-36.3833,620,,,,0,2,Sim
4,49,,,ALAGOAS,PALMEIRA DOS ÍNDIOS,SUDENE,936032,MINADOR DO NEGRÃO,-9.3167,-36.8667,395,,,,0,2,Sim
3,39,,,ALAGOAS,SANTANA DO MUNDAÚ,SUDENE,936033,MUNGUBA,-9.06667,-36.2,404,,,,0,2,Sim
3,39,,,ALAGOAS,PALMEIRA DOS ÍNDIOS,SUDENE,936034,PALMEIRA DOS ÍNDIOS,-9.4,-36.65,342,,,,0,2,Sim
3,39,,,ALAGOAS,PALMEIRA DOS ÍNDIOS,INMET,936035,PALMEIRA DOS ÍNDIOS,-9.42,-36.62,275,,2007-07-01 00:00:00,,1,2,Sim
3,39,,,ALAGOAS,PALMEIRA DOS ÍNDIOS,SUDENE,936038,PALMEIRA DOS ÍNDIOS,-9.4,-36.65,342,,,,0,2,Sim
3,39,,,ALAGOAS,PINDOBA,SUDENE,936039,PINDOBA (DNOS),-9.45,-36.2,190,,,,0,2,Sim
3,39,,,ALAGOAS,ATALAIA,SUDENE,936040,PORANGABA (DNOS),-9.55,-36.1333,60,,,,0,2,Sim
3,39,,,ALAGOAS,QUEBRANGULO,DNOCS,936041,QUEBRANGULO,-9.3022,-36.4728,411,,,,1,2,Sim
3,39,,,ALAGOAS,UNIÃO DOS PALMARES,SUDENE,936044,ROCHA CAVALCANTI,-9.1,-36.0667,156,,,,0,2,Sim
3,39,,,ALAGOAS,SANTANA DO MUNDAÚ,SUDENE,936045,SANTANA DO MUNDAÚ,-9.1667,-36.2167,221,,,,0,2,Sim
3,39,,,ALAGOAS,SÃO MIGUEL DOS CAMP,SUDENE,936046,SEBASTIÃO FERREIRA,-9.8,-36.0667,,,,,0,2,Sim
3,39,,,ALAGOAS,SÃO JOSÉ DA LAJE,SUDENE,936047,SÃO JOSÉ DA LAJE,-9.01667,-36.05,250,,,,0,2,Sim
3,39,,,ALAGOAS,SÃO MIGUEL DOS CAMP,DNOCS,936048,SÃO MIGUEL DOS CAMPOS,-9.78333,-36.1,12,,,,1,2,Sim
3,39,,,ALAGOAS,CAPELA,SUDENE,936049,SANTA EFIGÊNIA,-9.3,-36.1333,170,,,,0,2,Sim
4,49,,,ALAGOAS,TRAIPU,DNOCS,936050,TRAIPU,-9.9667,-36.9833,40,,,,1,2,Sim
4,49,,,ALAGOAS,TRAIPU,ANA,936051,TRAIPU,-9.9667,-36.9833,40,,,,0,2,Sim
3,39,,,ALAGOAS,TANQUE D'ARCA,SUDENE,936052,TANQUE D'ARCA,-9.53333,-36.4333,280,,,,0,2,Sim
3,39,,,ALAGOAS,UNIÃO DOS PALMARES,DNOCS,936053,UNIÃO DOS PALMARES,-9.16667,-36.05,155,,,,1,2,Sim
3,39,,,ALAGOAS,UNIÃO DOS PALMARES,RFFSA,936054,UNIÃO DOS PALMARES (RFN),-9.16667,-36.05,155,,,,0,2,Sim
3,39,,,ALAGOAS,SÃO MIGUEL DOS CAMP,SUDENE,936056,USINA CANSANÇÃO DO SINIMBÚ,-9.8667,-36.15,20,,,,0,2,Sim
3,39,,,ALAGOAS,VIÇOSA,DNOCS,936057,VIÇOSA,-9.38333,-36.25,300,,,,1,2,Sim
3,39,,,ALAGOAS,VIÇOSA,SUDENE,936060,VIÇOSA,-9.38333,-36.25,300,,,,0,2,Sim
3,39,,,ALAGOAS,ANADIA,INMET,936061,ANADIA (LIMOEIRO),-9.63333,-36.3333,135,,,,0,2,Sim
4,49,,,ALAGOAS,ARAPIRACA,INMET,936065,ARAPIRACA,-9.8042,-36.6189,247,,,,1,2,Sim
4,49,,,ALAGOAS,ARAPIRACA,DNOCS,936066,ARAPIRACA,-9.75,-36.65,264,,,,1,2,Sim
3,39,,,ALAGOAS,ANADIA,SEMARH-AL,936070,ANADIA,-9.6858,-36.2842,100,,2025-01-01 00:00:00,,1,2,Sim
4,49,,,ALAGOAS,CAMPO GRANDE,CODEVASF,936071,OLHO D'ÁGUA DO CAMPO,-9.9333,-36.8,,,,,0,2,Sim
4,49,,,ALAGOAS,CAMPO GRANDE,CODEVASF,936072,POÇO D'ANTAS,-9.9833,-36.7333,,,,,0,2,Sim
4,49,,,ALAGOAS,CAMPO GRANDE,CODEVASF,936073,CAMPO GRANDE,-9.95,-36.8,,,,,0,2,Não
4,49,,,ALAGOAS,CAMPO GRANDE,CODEVASF,936074,LAGOINHA DO CIRIACO,-9.9667,-36.8167,,,,,0,2,Não
4,49,,,ALAGOAS,TRAIPU,CODEVASF,936075,LAGOA DO MATO,-9.9833,-36.85,,,,,0,2,Não
4,49,,,ALAGOAS,TRAIPU,ANA,936076,TRAIPU,-9.9728,-37.0033,,,,,1,2,Sim
3,39,,,ALAGOAS,PINDOBA,SUDENE,936080,PINDOBA,-9.45,-36.2,190,,,,0,2,Não
3,39,,,ALAGOAS,SANTANA DO MUNDAÚ,SUDENE,936081,SANTANA DO MUNDAÚ,-9.1667,-36.2167,221,,,,0,2,Não
3,39,,,ALAGOAS,CAPELA,SUDENE,936082,CAPELA (CONCEIÇÃO DO PARAIBA),-9.43333,-36.0833,34,,,,0,2,Não
3,39,,,ALAGOAS,ATALAIA,SUDENE,936083,PORANGABA,-9.55,-36.1333,60,,,,0,2,Não
4,49,,,ALAGOAS,SÃO BRÁS,CODEVASF,936085,GOMES NETO,-9.9833,-36.8,200,,,,0,2,Sim
3,39,,,ALAGOAS,CAJUEIRO,SEMARH-AL,936086,CAPRICHO,-9.3767,-36.1003,,,,,0,2,Não
3,39,,,ALAGOAS,CAMPO ALEGRE,SEMARH-AL,936087,PORTO RICO,-9.8164,-36.2167,,,,,0,2,Não
3,39,,,ALAGOAS,TEOTÔNIO VILELA,SEMARH-AL,936088,SERESTA,-9.85,-36.3375,,,,,0,2,Não
3,39,,,ALAGOAS,BOCA DA MATA,SEMARH-AL,936089,TRIUNFO,-9.65,-36.2,,,,,0,2,Não
3,39,,,ALAGOAS,SÃO MIGUEL DOS CAMP,SEMARH-AL,936090,SINIMBÚ,-9.8831,-36.15,,,,,0,2,Não
3,39,,,ALAGOAS,PILAR,SEMARH-AL,936091,T. NOVA,-9.5858,-36.0017,,,,,0,2,Não
3,39,,,ALAGOAS,SÃO LUÍS DO QUITUND,SEMARH-AL,936092,SANTO ANTÔNIO,-9.2833,-36.5497,,,,,0,2,Não
3,39,,,ALAGOAS,ANADIA,DNOS,936101,ANADIA,-9.68333,-36.5833,130,,,,0,2,Não
4,49,,,ALAGOAS,TRAIPU,CODEVASF,936102,TRAIPU,-9.9667,-36.9833,,,,,0,2,Não
3,39,,,ALAGOAS,ATALAIA,ANA,936110,ATALAIA,-9.5072,-36.0233,54,,1996-08-01 00:00:00,,1,2,Sim
3,39,,,ALAGOAS,VIÇOSA,ANA,936111,VIÇOSA,-9.3792,-36.2492,300,,2011-04-01 00:00:00,,1,2,Sim
3,39,,,ALAGOAS,SÃO JOSÉ DA LAJE,ANA,936112,SÃO JOSÉ DA LAJE,-9.0042,-36.0511,,,2011-04-01 00:00:00,,1,2,Sim
3,39,,,ALAGOAS,UNIÃO DOS PALMARES,ANA,936113,UNIÃO DOS PALMARES,-9.1544,-36.0358,250,,2011-04-01 00:00:00,,1,2,Sim
3,39,,,ALAGOAS,SANTANA DO MUNDAÚ,ANA,936114,SANTANA DO MUNDAÚ,-9.1689,-36.2197,220,,2016-04-01 00:00:00,,1,2,Sim
3,39,,,ALAGOAS,QUEBRANGULO,ANA,936115,QUEBRANGULO,-9.3192,-36.4731,220,,,,0,2,Sim
